textbox25,textbox53,textbox24,textbox52,textbox54,textbox28,textbox48,textbox27,textbox49,textbox26,textbox50,textbox1,textbox2
DISPATCH MINERA LOS PELAMBRES,Inicio turno,01-ENE-2026 A,Fin turno,13-ENE-2026 B,Reporte creado el,"martes, 13 de enero de 2026",Tiempo,12:08:23,Generado por,SANTIAGO\amsrsalinasp,Generado en (segundos),15

FullShiftName,Equipo,Metros,Tp__Efectivo,Demora_Prog,Demora_Nprog,Reserva,Mant__Prog,Mant__Nprog,ID_UEBD,ID_Disp__Física,ID_Disp__Mecánica,Textbox40,Textbox41,Textbox42,Textbox43,Textbox44,Textbox45,Textbox46,Textbox47,Textbox48,Textbox49,Textbox28,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33,Textbox34,Textbox35,Textbox36,Textbox37
01-ENE-2026 A,PF03,"1,814.5",0.0,0.0,12.0,0.0,0.0,0.0,0.0,100.0,100.0,"26,521.6",0.0,0.0,434.7,118.4,0.0,9.4,0.0,745.0,745.0,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
01-ENE-2026 A,PF-07,"7,839.0",0.0,0.0,1.3,6.4,0.0,9.4,0.0,45.0,45.0,"26,521.6",0.0,0.0,434.7,118.4,0.0,9.4,0.0,745.0,745.0,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
01-ENE-2026 A,PF-21,"3,266.1",0.0,0.0,5.2,63.6,0.0,0.0,0.0,100.0,100.0,"26,521.6",0.0,0.0,434.7,118.4,0.0,9.4,0.0,745.0,745.0,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
01-ENE-2026 A,PF-22,"2,869.0",0.0,0.0,34.4,8.3,0.0,0.0,0.0,100.0,100.0,"26,521.6",0.0,0.0,434.7,118.4,0.0,9.4,0.0,745.0,745.0,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
01-ENE-2026 A,PF-23,"2,709.1",0.0,0.0,186.1,0.0,0.0,0.0,0.0,100.0,100.0,"26,521.6",0.0,0.0,434.7,118.4,0.0,9.4,0.0,745.0,745.0,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
01-ENE-2026 A,PF-24,"1,698.9",0.0,0.0,21.5,33.8,0.0,0.0,0.0,100.0,100.0,"26,521.6",0.0,0.0,434.7,118.4,0.0,9.4,0.0,745.0,745.0,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
01-ENE-2026 A,PF-25,"2,544.7",0.0,0.0,168.3,0.0,0.0,0.0,0.0,100.0,100.0,"26,521.6",0.0,0.0,434.7,118.4,0.0,9.4,0.0,745.0,745.0,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
01-ENE-2026 A,PF-26,"3,780.5",0.0,0.0,5.9,6.3,0.0,0.0,0.0,100.0,100.0,"26,521.6",0.0,0.0,434.7,118.4,0.0,9.4,0.0,745.0,745.0,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
01-ENE-2026 B,PF03,"1,814.5",6.1,1.8,3.1,0.0,0.0,1.0,55.3,91.3,91.3,"26,521.6",6.1,217.7,175.3,169.6,0.0,259.0,55.3,656.9,656.9,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
01-ENE-2026 B,PF-07,"7,839.0",0.0,47.9,12.4,0.0,0.0,143.8,0.0,29.6,29.6,"26,521.6",6.1,217.7,175.3,169.6,0.0,259.0,55.3,656.9,656.9,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
01-ENE-2026 B,PF-21,"3,266.1",0.0,25.9,5.9,0.0,0.0,0.0,0.0,100.0,100.0,"26,521.6",6.1,217.7,175.3,169.6,0.0,259.0,55.3,656.9,656.9,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
01-ENE-2026 B,PF-22,"2,869.0",0.0,32.1,27.6,0.0,0.0,9.8,0.0,85.9,85.9,"26,521.6",6.1,217.7,175.3,169.6,0.0,259.0,55.3,656.9,656.9,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
01-ENE-2026 B,PF-23,"2,709.1",0.0,27.2,0.9,83.1,0.0,0.0,0.0,100.0,100.0,"26,521.6",6.1,217.7,175.3,169.6,0.0,259.0,55.3,656.9,656.9,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
01-ENE-2026 B,PF-24,"1,698.9",0.0,50.9,23.1,0.0,0.0,0.0,0.0,100.0,100.0,"26,521.6",6.1,217.7,175.3,169.6,0.0,259.0,55.3,656.9,656.9,"599,544.4",126.1,"2,411.7","5,985.0","1,234.7","3,224.2","2,408.0","1,199.4","15,826.6","15,861.1"
